,Unnamed: 0.1,id,units,workers,profit,proportion,average size
0,0,1,10523,110012,491.6,0.033950042,10.45443315
1,1,2,313,11599,38.92,0.003579487,37.05750799
2,2,3,2685,66049,73.49,0.020382925,24.59925512
3,3,4,2257,46495,29.19,0.0143485,20.60035445
4,4,5,525,30196,20.92,0.009318579,57.51619048
5,5,6,2923,19292,71,0.005953571,6.600068423
6,6,7,1303,46184,-1354.54,0.014252525,35.44435917
7,7,8,31946,193302,10273.54,0.059653592,6.050898391
8,8,9,26143,139955,1135.37,0.043190544,5.353440692
9,9,10,1974,69278,398.38,0.021379404,35.0952381
10,10,11,180,7089,107.28,0.002187687,39.38333333
11,11,12,130,20069,165.48,0.006193355,154.3769231
12,12,13,298,12945,50.32,0.003994867,43.43959732
13,13,14,1624,69804,145.69,0.021541729,42.98275862
14,14,15,7477,1028795,??????,0.317489304,137.5946235
15,15,16,12234,157147,1061,0.048496048,12.84510381
16,16,17,4231,205341,976.37,0.063368865,48.53249823
17,17,18,36171,275384,971.34,0.08498435,7.613391944
18,18,19,1727,61401,1240.22,0.018948538,35.55356109
19,19,20,2595,332997,1947,0.102763899,128.3225434
20,0,0,611,40000,0,0.104022191,65.46644845
21,21,21,274,227558,0,0,830.5036496
